time;blink;ratio;ratio_r;ratio_l;counted;orientation;still_closed;blink_length
285.7151257991791;False;0;0;0;0; ;False;-1697539556.1180403
285.7889287471771;False;0;0;0;0; ;False;0.07380294799804688
285.81686186790466;False;0;0;0;0; ;False;0.027933120727539062
285.8407893180847;False;0;0;0;0; ;False;0.02392745018005371
285.86689043045044;False;0;0;0;0; ;False;0.026101112365722656
285.89132857322693;False;0;0;0;0; ;False;0.024438142776489258
285.91254591941833;False;0;0;0;0; ;False;0.02121734619140625
285.93568992614746;False;0;0;0;0; ;False;0.023144006729125977
285.97709584236145;False;0;0;0;0; ;False;0.04140591621398926
286.0042085647583;False;0;0;0;0; ;False;0.027112722396850586
286.0291659832001;False;0;0;0;0; ;False;0.02495741844177246
286.07174706459045;True;8.621270214494126;10.198039027185569;7.044501401802685;1;f;True;0.04258108139038086
286.1009576320648;False;3.304494896260387;3.590528079808302;3.018461712712472;1;f;False;0.0717916488647461
286.12491726875305;False;3.610727692737587;3.748873704735071;3.4725816807401038;1;f;False;0.023959636688232422
286.15583896636963;False;3.549623409142631;3.748873704735071;3.350373113550191;1;f;False;0.03092169761657715
286.18490076065063;False;3.449477705195849;3.2649655434629015;3.633989866928797;1;f;False;0.02906179428100586
286.2147853374481;False;3.396045099262363;3.590528079808302;3.2015621187164243;1;f;False;0.02988457679748535
286.24673771858215;False;3.445269594392471;3.1304951684997055;3.760044020285236;1;f;False;0.0319523811340332
286.2791566848755;False;3.6752860500467692;3.590528079808302;3.760044020285236;1;f;False;0.03241896629333496
286.3186318874359;False;3.587330310151496;3.6391267143702546;3.5355339059327378;1;f;False;0.039475202560424805
286.34955167770386;False;3.3287942135413635;3.6391267143702546;3.018461712712472;1;f;False;0.030919790267944336
286.38250756263733;False;3.3287942135413635;3.6391267143702546;3.018461712712472;1;f;False;0.03295588493347168
286.4174122810364;False;3.4493639584857894;3.6391267143702546;3.259601202601324;1;f;False;0.03490471839904785
286.45127630233765;False;3.396045099262363;3.590528079808302;3.2015621187164243;1;f;False;0.03386402130126953
286.4797718524933;False;3.477103707101749;3.79544535007493;3.158762064128569;1;f;False;0.02849555015563965
286.5151426792145;False;3.213232609017922;3.2249030993194197;3.2015621187164243;1;f;False;0.035370826721191406
286.55254554748535;False;3.2876381064348053;3.2249030993194197;3.350373113550191;1;f;False;0.03740286827087402
286.58199167251587;False;3.7932213541162927;3.709010212544144;3.877432495688441;1;f;False;0.029446125030517578
286.618887424469;False;3.307669328506546;3.2649655434629015;3.350373113550191;1;f;False;0.036895751953125
286.65388917922974;False;3.191832581723994;3.2249030993194197;3.158762064128569;1;f;False;0.03500175476074219
286.6972897052765;False;3.813153100211756;3.748873704735071;3.877432495688441;1;f;False;0.04340052604675293
286.733197927475;False;3.707440385650653;3.9616214413349042;3.4532593299664014;1;f;False;0.03590822219848633
286.7710909843445;False;3.981683360912013;3.9077193182558894;4.055647403568137;1;f;False;0.037893056869506836
286.8015806674957;False;3.6921553994933918;3.3286633954186473;4.055647403568137;1;f;False;0.030489683151245117
286.8374845981598;False;3.481443658745799;3.3956755211442036;3.5672117963473937;1;f;False;0.0359039306640625
286.8680679798126;False;3.41509334975323;3.4669871646719432;3.363199534834517;1;f;False;0.03058338165283203
286.9004786014557;False;3.0273686864445777;3.092329219213245;2.9624081536759106;1;f;False;0.032410621643066406
