time;blink;ratio;ratio_r;ratio_l;counted;orientation;still_closed;blink_length
15.416165113449097;True;3.7156588330368123;3.7142857142857144;3.7170319517879107;1;f;True;-1695651735.7695625
15.482986688613892;False;3.617393726586614;3.8597874531732272;3.375;1;f;True;-1695651735.702741
15.513907670974731;False;3.553571428571429;3.857142857142857;3.25;1;f;True;-1695651735.67182
15.54482102394104;False;3.603040345525743;3.857142857142857;3.3489378339086286;1;f;True;-1695651735.6409066
15.572749614715576;False;3.8584651551580422;3.857142857142857;3.8597874531732272;1;f;True;-1695651735.612978
15.601017475128174;False;3.819685626657958;3.8183766184073566;3.8209946349085597;1;f;True;-1695651735.5847101
15.629594564437866;False;3.857142857142857;3.857142857142857;3.857142857142857;1;f;True;-1695651735.556133
15.655553102493286;False;3.7857142857142856;3.857142857142857;3.7142857142857144;1;f;True;-1695651735.5301745
15.68348217010498;False;3.7857142857142856;3.857142857142857;3.7142857142857144;1;f;True;-1695651735.5022454
15.713371753692627;False;3.7663311663465358;3.8183766184073566;3.7142857142857144;1;f;True;-1695651735.4723558
15.740301609039307;False;3.7857142857142856;3.857142857142857;3.7142857142857144;1;f;True;-1695651735.445426
15.766553163528442;False;3.7857142857142856;3.857142857142857;3.7142857142857144;1;f;True;-1695651735.4191744
15.794479846954346;False;3.7677042850976337;3.8183766184073566;3.7170319517879107;1;f;True;-1695651735.3912477
15.823399066925049;False;3.788409702480569;3.8597874531732272;3.7170319517879107;1;f;True;-1695651735.3623285
15.851325988769531;False;3.788409702480569;3.8597874531732272;3.7170319517879107;1;f;True;-1695651735.3344016
15.8802490234375;False;3.788409702480569;3.8597874531732272;3.7170319517879107;1;f;True;-1695651735.3054786
15.905181407928467;False;3.788409702480569;3.8597874531732272;3.7170319517879107;1;f;True;-1695651735.2805462
15.927124738693237;False;3.788409702480569;3.8597874531732272;3.7170319517879107;1;f;True;-1695651735.2586029
15.961061000823975;False;3.788409702480569;3.8597874531732272;3.7170319517879107;1;f;True;-1695651735.2246666
15.989813327789307;False;3.788409702480569;3.8597874531732272;3.7170319517879107;1;f;True;-1695651735.1959143
16.026411771774292;False;3.788409702480569;3.8597874531732272;3.7170319517879107;1;f;True;-1695651735.1593158
16.058359384536743;False;4.390309691312275;4.503085362035432;4.277534020589117;1;f;True;-1695651735.1273682
16.101216554641724;False;3.8403910440408935;3.8597874531732272;3.8209946349085597;1;f;True;-1695651735.084511
16.142107248306274;False;3.7697306758840234;3.8597874531732272;3.6796738985948196;1;f;True;-1695651735.0436203
16.18312382698059;False;4.472450700822326;4.503085362035432;4.441816039609219;1;f;True;-1695651735.0026038
16.222986936569214;False;4.472450700822326;4.503085362035432;4.441816039609219;1;f;True;-1695651734.9627407
16.26017451286316;False;3.8209946349085597;3.8209946349085597;3.8209946349085597;1;f;True;-1695651734.925553
16.29283857345581;False;4.418209347684383;4.503085362035432;4.333333333333333;1;f;True;-1695651734.892889
16.32987666130066;False;3.7697306758840234;3.8597874531732272;3.6796738985948196;1;f;True;-1695651734.855851
16.368130922317505;False;3.698352925191365;3.7170319517879107;3.6796738985948196;1;f;True;-1695651734.8175967
16.409324407577515;False;3.769013293348235;3.7170319517879107;3.8209946349085597;1;f;True;-1695651734.7764032
16.44665813446045;False;3.8209946349085597;3.8209946349085597;3.8209946349085597;1;f;True;-1695651734.7390695
16.48472237586975;False;3.8403910440408935;3.8597874531732272;3.8209946349085597;1;f;True;-1695651734.7010052
16.52449941635132;False;4.162039998471996;4.503085362035432;3.8209946349085597;1;f;True;-1695651734.6612282
16.559415102005005;False;4.418268638542948;4.5;4.336537277085896;1;f;True;-1695651734.6263125
16.59676718711853;False;4.091379630315126;4.503085362035432;3.6796738985948196;1;f;True;-1695651734.5889604
16.634702920913696;False;4.110058656911671;4.503085362035432;3.7170319517879107;1;f;True;-1695651734.5510247
16.673611164093018;False;3.788409702480569;3.8597874531732272;3.7170319517879107;1;f;True;-1695651734.5121164
16.716211080551147;False;3.7870365837294706;3.8597874531732272;3.7142857142857144;1;f;True;-1695651734.4695165
16.755441188812256;False;4.110058656911671;4.503085362035432;3.7170319517879107;1;f;True;-1695651734.4302864
16.794532299041748;False;4.110058656911671;4.503085362035432;3.7170319517879107;1;f;True;-1695651734.3911953
16.831420421600342;False;3.788409702480569;3.8597874531732272;3.7170319517879107;1;f;True;-1695651734.3543072
16.869547367095947;False;3.788409702480569;3.8597874531732272;3.7170319517879107;1;f;True;-1695651734.3161802
16.91005229949951;False;3.788409702480569;3.8597874531732272;3.7170319517879107;1;f;True;-1695651734.2756753
16.948507070541382;False;3.788409702480569;3.8597874531732272;3.7170319517879107;1;f;True;-1695651734.2372205
16.986029863357544;False;3.788409702480569;3.8597874531732272;3.7170319517879107;1;f;True;-1695651734.1996977
17.022768020629883;False;4.110058656911671;4.503085362035432;3.7170319517879107;1;f;True;-1695651734.1629596
17.062391996383667;False;3.788409702480569;3.8597874531732272;3.7170319517879107;1;f;True;-1695651734.1233356
17.104628801345825;False;3.8597874531732272;3.8597874531732272;3.8597874531732272;1;f;True;-1695651734.0810988
17.144843339920044;False;3.788409702480569;3.8597874531732272;3.7170319517879107;1;f;True;-1695651734.0408843
17.18398642539978;False;3.788409702480569;3.8597874531732272;3.7170319517879107;1;f;True;-1695651734.0017412
17.22193741798401;False;4.110058656911671;4.503085362035432;3.7170319517879107;1;f;True;-1695651733.9637902
17.26073956489563;False;3.788409702480569;3.8597874531732272;3.7170319517879107;1;f;True;-1695651733.924988
17.29891085624695;False;4.110058656911671;4.503085362035432;3.7170319517879107;1;f;True;-1695651733.8868167
17.337576389312744;False;4.108515975893956;4.5;3.7170319517879107;1;f;True;-1695651733.8481512
17.374773740768433;False;4.110058656911671;4.503085362035432;3.7170319517879107;1;f;True;-1695651733.8109539
17.413203954696655;False;3.8597874531732272;3.8597874531732272;3.8597874531732272;1;f;True;-1695651733.7725236
17.45180368423462;False;3.788409702480569;3.8597874531732272;3.7170319517879107;1;f;True;-1695651733.733924
17.624635457992554;True;3.788409702480569;3.8597874531732272;3.7170319517879107;2;f;True;-1695651733.5610921
17.649126529693604;False;3.788409702480569;3.8597874531732272;3.7170319517879107;2;f;True;-1695651733.536601
17.67851448059082;False;3.769013293348235;3.8209946349085597;3.7170319517879107;2;f;True;-1695651733.507213
17.706397533416748;False;3.788409702480569;3.8597874531732272;3.7170319517879107;2;f;True;-1695651733.47933
17.733975410461426;False;3.788409702480569;3.8597874531732272;3.7170319517879107;2;f;True;-1695651733.4517522
17.765853881835938;False;3.788409702480569;3.8597874531732272;3.7170319517879107;2;f;True;-1695651733.4198737
17.80582571029663;False;3.788409702480569;3.8597874531732272;3.7170319517879107;2;f;True;-1695651733.379902
17.837505102157593;False;3.769013293348235;3.8209946349085597;3.7170319517879107;2;f;True;-1695651733.3482225
17.862436294555664;False;3.788409702480569;3.8597874531732272;3.7170319517879107;2;f;True;-1695651733.3232913
17.89243221282959;False;3.788409702480569;3.8597874531732272;3.7170319517879107;2;f;True;-1695651733.2932954
17.92974853515625;False;3.788409702480569;3.8597874531732272;3.7170319517879107;2;f;True;-1695651733.255979
17.969484329223633;False;4.110058656911671;4.503085362035432;3.7170319517879107;2;f;True;-1695651733.2162433
18.0005624294281;False;4.419811319560664;4.503085362035432;4.336537277085896;2;f;True;-1695651733.1851652
18.03375244140625;False;4.419811319560664;4.503085362035432;4.336537277085896;2;f;True;-1695651733.1519752
18.066850662231445;False;4.419811319560664;4.503085362035432;4.336537277085896;2;f;True;-1695651733.118877
18.10060167312622;False;4.503085362035432;4.503085362035432;4.503085362035432;2;f;True;-1695651733.085126
18.135308980941772;False;4.110058656911671;4.503085362035432;3.7170319517879107;2;f;True;-1695651733.0504186
18.169748306274414;False;4.110058656911671;4.503085362035432;3.7170319517879107;2;f;True;-1695651733.0159793
18.203725814819336;False;4.419811319560664;4.503085362035432;4.336537277085896;2;f;True;-1695651732.9820018
18.246520042419434;False;4.503085362035432;4.503085362035432;4.503085362035432;2;f;True;-1695651732.9392076
18.284751176834106;False;4.110058656911671;4.503085362035432;3.7170319517879107;2;f;True;-1695651732.9009764
18.32190489768982;False;3.788409702480569;3.8597874531732272;3.7170319517879107;2;f;True;-1695651732.8638227
18.359862327575684;False;3.788409702480569;3.8597874531732272;3.7170319517879107;2;f;True;-1695651732.8258653
18.39510941505432;False;4.419811319560664;4.503085362035432;4.336537277085896;2;f;True;-1695651732.7906182
18.430829524993896;False;3.788409702480569;3.8597874531732272;3.7170319517879107;2;f;True;-1695651732.754898
