time;blink;ratio;ratio_r;ratio_l;counted;orientation;still_closed;blink_length
8.582687616348267;True;5.545702854234428;4.514932489485904;6.576473218982953;1;r;True;-1695743596.1973681
8.631100416183472;False;3.7021518245074567;3.394112549695428;4.010191099319486;1;r;True;-1695743596.1489553
8.652044534683228;False;3.8074473752753937;3.574284572341944;4.040610178208843;1;r;True;-1695743596.1280112
8.679969310760498;False;4.154947381240605;4.28700109381586;4.02289366866535;1;f;True;-1695743596.1000865
8.701911926269531;False;3.864213980562999;3.687817782917155;4.040610178208843;1;f;True;-1695743596.0781438
8.726844549179077;False;4.005936605095989;4.169998667732268;3.841874542459709;1;f;True;-1695743596.0532112
8.748813152313232;False;3.6185319559350457;3.7170319517879107;3.5200319600821808;1;f;True;-1695743596.0312426
8.789716482162476;False;3.7777640872701324;3.687817782917155;3.8677103916231097;1;f;True;-1695743595.9903393
8.821592092514038;False;3.8677103916231097;3.8677103916231097;3.8677103916231097;1;f;True;-1695743595.9584637
8.854533195495605;False;4.57092315319349;4.512328790226961;4.6295175161600195;1;f;True;-1695743595.9255226
8.884424209594727;False;4.268941834194097;4.527692569068708;4.010191099319486;1;f;True;-1695743595.8956316
8.915342330932617;False;3.8742948682695726;3.8677103916231097;3.8808793449160355;1;f;True;-1695743595.8647134
8.94825267791748;False;4.411169790603455;4.6696419087073;4.15269767249961;1;f;True;-1695743595.831803
8.983160018920898;False;4.012376546174221;3.8597874531732272;4.164965639175215;1;f;True;-1695743595.7968957
9.016098976135254;False;4.056755582841147;4.0025502074634;4.110960958218893;1;f;True;-1695743595.7639568
9.044994831085205;False;3.5592171424641847;3.502231431530475;3.616202853397895;1;f;True;-1695743595.735061
9.076912641525269;False;3.497540635422536;3.502231431530475;3.492849839314596;1;f;True;-1695743595.7031431
9.109849214553833;False;3.5456948110184117;3.475186768638929;3.616202853397895;1;f;True;-1695743595.6702065
9.157692909240723;False;4.076348836249805;4.0;4.15269767249961;1;f;True;-1695743595.6223629
9.191636085510254;False;4.082482819587607;4.0;4.164965639175215;1;f;True;-1695743595.5884197
9.221523523330688;False;4.057603056777479;4.145319465299116;3.9698866482558413;1;f;True;-1695743595.5585322
9.255462408065796;False;4.020305089104422;4.0;4.040610178208843;1;f;True;-1695743595.5245934
9.284355401992798;False;3.746424919657298;4.0;3.492849839314596;1;f;True;-1695743595.4957004
9.31567668914795;False;3.9648423114502536;3.959797974644666;3.9698866482558413;1;f;True;-1695743595.464379
9.348589181900024;False;3.8093765304306473;4.0025502074634;3.616202853397895;1;f;True;-1695743595.4314666
9.38050389289856;False;3.9849433241279204;4.0;3.9698866482558413;1;f;True;-1695743595.3995519
9.411421298980713;False;3.929893726586614;3.8597874531732272;4.0;1;f;True;-1695743595.3686345
9.445330142974854;False;3.6373600297594137;3.8597874531732272;3.4149326063456;1;f;True;-1695743595.3347256
9.476251363754272;False;3.61796362062708;3.8209946349085597;3.4149326063456;1;f;True;-1695743595.3038044
9.525126934051514;False;3.751520469317041;4.010191099319486;3.492849839314596;1;f;True;-1695743595.2549288
9.560023546218872;False;3.736059039893158;3.502231431530475;3.9698866482558413;1;f;True;-1695743595.2200322
9.5919668674469;False;3.9925058789056873;4.0025502074634;3.982461550347975;1;f;True;-1695743595.188089
9.62285566329956;False;3.631968584966647;3.8597874531732272;3.404149716760067;1;f;True;-1695743595.1572
9.655768632888794;False;3.742185564028045;4.0025502074634;3.4818209205926895;1;f;True;-1695743595.1242871
9.686686277389526;False;3.9849433241279204;4.0;3.9698866482558413;1;f;True;-1695743595.0933695
9.716908931732178;False;3.7033499621117336;4.0025502074634;3.404149716760067;1;f;True;-1695743595.0631468
9.748850107192993;False;4.3903014334630965;4.6696419087073;4.110960958218893;1;f;True;-1695743595.0312057
